recipe_name,required_ingredients,instructions
蔥爆雞丁,雞胸肉|蔥|醬油,將雞胸肉切丁與蔥段、醬油大火快炒。
香煎豆腐,板豆腐|醬油|蒜頭,豆腐切片煎至兩面金黃，淋上蒜頭醬油。
牛奶高麗菜濃湯,鮮奶|高麗菜|奶油,高麗菜炒軟後加入鮮奶與奶油燉煮。
滑蛋雞肉燴飯,雞蛋|雞胸肉|洋蔥|白米,雞肉洋蔥煮熟後淋上蛋汁，蓋在白飯上。
番茄炒蛋,番茄|雞蛋|蔥|沙拉油,番茄炒軟出汁後加入半熟蛋與蔥花翻炒均勻。
日式咖哩牛,馬鈴薯|胡蘿蔔|洋蔥|牛五花肉片|咖哩塊|白米,將食材切塊炒香加水燉煮，最後加入咖哩塊化開。
經典蒜香炒花椰,花椰菜|大蒜|鹽巴|沙拉油,大蒜爆香後放入花椰菜與少許水，悶熟後調味。
黑胡椒香煎牛排,牛排|大蒜|奶油|鹽巴|黑胡椒,牛排煎至喜好熟度，盛盤前用奶油、大蒜、黑胡椒香煎提味。
蒜蓉鮮蝦粉絲煲,蝦仁|大蒜|蔥|醬油|意麵,大蒜切碎爆香淋在蝦仁與意麵上，蒸熟後撒上蔥花。
家常麻婆豆腐,嫩豆腐|五花豬肉片|大蒜|蔥|辣豆瓣醬,豬肉末與蒜末、豆瓣醬炒香，加入豆腐碎與水悶煮，出鍋撒蔥花。
法式起司吐司,吐司|起司片|鮮奶|雞蛋|奶油,吐司沾滿蛋液與鮮奶，用奶油煎至兩面金黃並夾入起司片。
