ingredient_name,quantity,purchase_date,expiry_date
雞蛋,10,2026-05-20,2026-06-15
鮮奶,1,2026-05-28,2026-06-03
高麗菜,1,2026-05-29,2026-06-05
雞胸肉,3,2026-05-28,2026-06-01
板豆腐,2,2026-05-30,2026-06-02
洋蔥,4,2026-05-15,2026-06-10
大蒜,15,2026-05-01,2026-06-30
蔥,5,2026-05-28,2026-06-01
番茄,3,2026-05-25,2026-06-02
金針菇,2,2026-05-29,2026-06-02
五花豬肉片,2,2026-05-28,2026-06-04
起司片,8,2026-05-10,2026-06-20
吐司,1,2026-05-30,2026-06-03
奶油,1,2026-05-01,2026-08-01
白米,1,2026-05-01,2026-11-01
胡蘿蔔,2,2026-05-15,2026-06-15
馬鈴薯,3,2026-05-15,2026-06-12
咖哩塊,1,2026-05-01,2026-12-31
牛五花肉片,1,2026-05-29,2026-06-03
花椰菜,1,2026-05-28,2026-06-01
蝦仁,20,2026-05-20,2026-06-25
嫩豆腐,1,2026-05-29,2026-06-02
辣豆瓣醬,1,2026-05-01,2026-12-01
牛排,2,2026-05-29,2026-06-02
杏鮑菇,4,2026-05-26,2026-06-02
鹽巴,1,2026-01-01,2027-01-01
黑胡椒,1,2026-01-01,2027-01-01
意麵,5,2026-05-10,2026-08-10
沙拉油,1,2026-01-01,2027-01-01
